Name;Age;Class;Ticket;Joined;Job;Fate;Sex
ANDREWS, Mr Thomas;39;"1st Class Passenger
H&W Guarantee Group";112050;Belfast;Shipbuilder  ;Dead;M
ANGHELOFF, Mr Minko;26;3rd Class Passenger;"349202
£7 17s 11d";Southampton;General Labourer  ;Dead;M
ANGLE, Mr William;31;2nd Class Passenger;"226875
£26";Southampton;Tile Maker  ;Dead;M
ANGLE, Mrs Florence Agnes;36;2nd Class Passenger;"226875
£26";Southampton; ;Survivor;F
APPLETON, Mrs Charlotte;53;1st Class Passenger;"11769
£51 9s 7d";Southampton; ;Survivor;F
ARCHER, Mr Ernest Edward;35;Deck Crew;;Southampton;Able Seaman  ;Survivor;M
ARMSTRONG, Mr James;31;Engineering Crew;;Belfast;Fireman  ;Survivor;M
ARNOLD-FRANCHI, Mr Josef;25;3rd Class Passenger;"349237
£17 16s";Southampton;General Labourer  ;Dead;M
ARNOLD-FRANCHI, Mrs Josefine;18;3rd Class Passenger;"349237
£17 16s";Southampton; ;Dead;F
ARONSSON, Mr Ernst Axel Algot;25;3rd Class Passenger;"349911
£7 15s 6d";Southampton;General Labourer  ;Dead;M
ARTAGAVEYTIA, Mr Ramon;71;1st Class Passenger;"17609
£49 10s 1d";Cherbourg;Businessman  ;Dead;M
ASHBY, Mr John;57;2nd Class Passenger;"244346
£13";Southampton; ;Dead;M
ASHCROFT, Mr Austin Aloysius;26;Victualling Crew;;Southampton;Clerk  ;Dead;M
ASHE, Mr Henry Wellesley;41;Victualling Crew;;Southampton;Glory hole steward (3rd class)  ;Dead;M
ASIM, Mr Adola;35;3rd Class Passenger;"3101310
£7 1s";Southampton;General Labourer  ;Dead;M
ASPESLAGH, Mr Georges;26;Restaurant Staff;;Southampton;Assistant Plateman  ;Dead;M
ASPLUND, Master Carl Edgar;5;3rd Class Passenger;"347077
£31 7s 9d";Southampton; ;Dead;M
ASPLUND, Master Clarence Gustaf Hugo;9;3rd Class Passenger;"347077
£31 7s 9d";Southampton; ;Dead;M
ASPLUND, Master Edvin Rojj Felix;3;3rd Class Passenger;"347077
£31 7s 9d";Southampton; ;Survivor;M
ASPLUND, Master Filip Oscar;13;3rd Class Passenger;"347077
£31 7s 9d";Southampton; ;Dead;M
ASPLUND, Miss Lillian Gertrud;5;3rd Class Passenger;"347077
£31 7s 9d";Southampton; ;Survivor;F
ASPLUND, Mr Carl Oscar Vilhelm Gustafsson;40;3rd Class Passenger;"347077
£31 7s 9d";Southampton;General Labourer  ;Dead;M
ASPLUND, Mr Johan Charles;13;3rd Class Passenger;"350054
£7 15s 11d";Southampton; ;Survivor;M
ASPLUND, Mrs Selma Augusta Emilia;38;3rd Class Passenger;"347077
£31 7s 9d";Southampton; ;Survivor;F
ASSAF, Mrs Mariana;45;3rd Class Passenger;"2696
£7 4s 6d";Cherbourg; ;Survivor;F
ASSAM, Mr Ali;23;3rd Class Passenger;"3101309
£7 1s";Southampton;General Labourer  ;Dead;M
ASTOR, Colonel John Jacob;47;1st Class Passenger;"17757
£247 10s 6d";Cherbourg;Property Developer / Real Estate  ;Dead;M
ASTOR, Mrs Madeleine Talmage;18;1st Class Passenger;"17757
£247 10s 6d";Cherbourg; ;Survivor;F
ATTALA, Mr Sleiman;27;3rd Class Passenger;"2694
£7 4s 6d";Cherbourg;Journalist  ;Dead;M
ATTALAH, Miss Malake;17;3rd Class Passenger;"2627
£14 9s 2d";Cherbourg; ;Dead;F
AUBART, Miss Léontine Pauline Aubart (Ninette);24;1st Class Passenger;"17477
£69 6s";Cherbourg;Singer  ;Survivor;F
AUGUSTSSON, Mr Albert;23;3rd Class Passenger;"347468
£7 17s 1d";Southampton;General Labourer  ;Dead;M
AULD, Mr James;32;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
AVERY, Mr James Albert;21;Engineering Crew;;Southampton;Trimmer  ;Survivor;M
AYLING, Mr Edwin George;23;Victualling Crew;;Southampton;Assistant Vegetable Cook  ;Dead;M
AYOUB DAHER, Miss Banoura;15;3rd Class Passenger;"2687
£7 4s 7d";Cherbourg; ;Survivor;F
BACK, Mr Charles Frederick;37;Victualling Crew;;Belfast;Assistant Lounge Steward  ;Dead;M
BACKSTRÖM, Mr Karl Alfred;32;3rd Class Passenger;"3101278
£15 17s";Southampton;General Labourer  ;Dead;M
BACKSTRÖM, Mrs Maria Mathilda;33;3rd Class Passenger;"3101278
£15 17s";Southampton; ;Survivor;F
BACLINI, Miss Eugenie;3;3rd Class Passenger;"2666
£19 5s 2d";Cherbourg; ;Survivor;F
BACLINI, Miss Helene Barbara;32;3rd Class Passenger;"2666
£19 5s 2d";Cherbourg; ;Survivor;F
BACLINI, Miss Marie Catherine;5;3rd Class Passenger;"2666
£19 5s 2d";Cherbourg; ;Survivor;F
BACLINI, Mrs Latifa;23;3rd Class Passenger;"2666
£19 5s 2d";Cherbourg; ;Survivor;F
BADMAN, Miss Emily Louisa;18;3rd Class Passenger;"31416
£8 1s";Southampton;Servant  ;Survivor;F
BADT, Mr Mohamed;40;3rd Class Passenger;"2623
£7 4s 6d";Cherbourg;Farmer  ;Dead;M
BAGGOTT, Mr Allen Marden;28;Victualling Crew;;Southampton;Saloon Steward  ;Survivor;M
BAGLEY, Mr Edward Henry;33;Victualling Crew;;Southampton;Saloon Steward  ;Dead;M
BAILEY, Mr George Francis;36;Victualling Crew;;Belfast;Saloon Steward  ;Dead;M
BAILEY, Mr George Frank;46;Engineering Crew;;Southampton;Fireman  ;Dead;M
BAILEY, Mr Henry Joseph;46;Deck Crew;;Southampton;Master-at-arms  ;Survivor;M
BAILEY, Mr Percy;18;2nd Class Passenger;"29108
£11 10s";Southampton;Butcher's Assistant  ;Dead;M
BAILEY, Mr William;30;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
BAIN, Mr David;46;Engineering Crew;;Belfast;Fireman  ;Survivor;M
BAINBRIGGE, Mr Charles Robert;22;2nd Class Passenger;"31030
£10 10s";Southampton;Horse Trainer  ;Dead;M
BAINES, Mr Richard;24;Engineering Crew;;Southampton;Greaser  ;Dead;M
BAKER (BARKER), Mr John;;Engineering Crew;;Belfast;Fireman  ;Survivor;M
BALKIC, Mr Cerin;26;3rd Class Passenger;"349248
£7 17s 11d";Southampton;General Labourer  ;Dead;M
BALL, Mr Percy;19;Victualling Crew;;Southampton;Plate Steward  ;Survivor;M
BALLS, Mrs Ada E.;36;2nd Class Passenger;"28551
£13";Southampton; ;Survivor;F
BANFI, Sig. Ugo;24;Restaurant Staff;;Southampton;Waiter  ;Dead;M
BANFIELD, Mr Frederick James;28;2nd Class Passenger;"34068
£10 10s";Southampton;Miner  ;Dead;M
BANNON, Mr John Joseph;34;Engineering Crew;;Southampton;Greaser  ;Dead;M
BANSKI, Mrs Mara;31;3rd Class Passenger;"349244
£8 13s 8d";Southampton; ;Survivor;F
BARBARA, Miss Saiide;18;3rd Class Passenger;"2691
£14 9s 1d";Cherbourg;Housekeeper  ;Dead;F
BARBARA, Mrs Catherine David;45;3rd Class Passenger;"2691
£14 9s 1d";Cherbourg;Housekeeper  ;Dead;F
BARBER, Miss Ellen Mary;27;"1st Class Passenger
Servant";"19877
£78 17s";Southampton;Personal Maid  ;Survivor;F
BARKER, Mr Albert Vale;19;Victualling Crew;;Southampton;Baker  ;Dead;M
BARKER, Mr Ernest Thomas;41;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
BARKER, Mr George;56;Engineering Crew;;Belfast;Storekeeper  ;Survivor;M
BARKER, Mr George;46;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
BARKER, Mr Reginald Lomond;42;Victualling Crew;;Belfast;Second Purser, 1st Class ;Dead;M
BARKER, Mr Stokes;26;Engineering Crew;;Belfast;Leading Fireman  ;Survivor;M
BARKLEY, Mr Robert;39;Engineering Crew;;Belfast;Fireman  ;Survivor;M
BARKWORTH, Mr Algernon Henry;47;1st Class Passenger;"27042
£30";Southampton;Justice of the Peace  ;Survivor;M
BARLOW, Mr Charles;30;Engineering Crew;;Southampton;Fireman  ;Dead;M
BARLOW, Mr George;36;Victualling Crew;;Southampton;Bed Room Steward  ;Dead;M
BARNES, Mr Charles;29;Engineering Crew;;Southampton;Fireman  ;Dead;M
BARNES, Mr Frederick Charles;40;Victualling Crew;;Southampton;Assistant baker  ;Dead;M
BARNES, Mr John;40;Engineering Crew;;Southampton;Fireman  ;Dead;M
BARNES, Mr William;32;Engineering Crew;;Belfast;Leading Fireman  ;Survivor;M
BARRATT, Mr Arthur;16;Victualling Crew;;Southampton;Bell Boy  ;Dead;M
BARRETT, Mr Frederick;28;Engineering Crew;;Southampton;Leading Fireman  ;Survivor;M
BARRETT, Mr Frederick William;33;Engineering Crew;;Southampton;Fireman  ;Dead;M
BARRINGER, Mr Arthur William;34;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
BARROW, Mr Charles Henry John Barrow;36;Victualling Crew;;Southampton;Assistant butcher  ;Dead;M
BARROWS, Mr William;32;Victualling Crew;;Southampton;Saloon Steward  ;Dead;M
BARRY, Miss Julia;33;3rd Class Passenger;"330844
£7 17s 7d";Queenstown;Housekeeper  ;Dead;F
BARRY, Mr James;31;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
BARTLEY, Mr Joseph;32;Victualling Crew;;Belfast;Room Attendent  ;Survivor;M
BARTLEY, Mr Robert;32;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
BARTON, Mr David John;22;3rd Class Passenger;"324669
£8 1s";Southampton;General Labourer  ;Dead;M
BARTON, Mr Sidney John;26;Victualling Crew;;Southampton;3rd Class Steward  ;Dead;M
BASILICO, Sig. Giovanni;27;Restaurant Staff;;Southampton;Waiter  ;Dead;M
BASSANI, Mrs Albina;32;"1st Class Passenger
Servant";"11813
£76 5s 10d";Cherbourg;Personal Maid  ;Survivor;F
BATEMAN, Revd Robert James;52;2nd Class Passenger;"1166
£12 10s 6d";Southampton;Priest / Minister  ;Dead;M
BATOSHEV, Mr Hristo Lalev;23;3rd Class Passenger;"349217
£7 17s 11d";Southampton;General Labourer  ;Dead;M
BAUMANN, Mr John David;48;1st Class Passenger;"17318
£25 18s 6d";Cherbourg;Businessman  ;Dead;M
BAXTER, Mr Harry Ross;53;Victualling Crew;;Southampton;3rd Class Steward  ;Dead;M
BAXTER, Mr Quigg Edmond;24;1st Class Passenger;"17558
£247 10s 5d";Cherbourg; ;Dead;M
BAXTER, Mr Thomas Ferguson;55;Victualling Crew;;Southampton;Linen Steward (1st class) ;Dead;M
Mrs Hélène Baxter (née de Lanaudiére-Chaput) ;50;1st Class Passenger;"17558
£247 10s 5d";Cherbourg; ;Survivor;F
BAZZI, Sig. Narciso;33;Restaurant Staff;;Southampton;Waiter  ;Dead;M
BAZZÄ, Mr RashÄd Al-HÄj 'Adb al-Husayn;30;3rd Class Passenger;"2629
£7 4s 7d";Cherbourg; ;Survivor;M
BEANE, Mr Edward;32;2nd Class Passenger;"2908
£26";Southampton; ;Survivor;M
BEANE, Mrs Ethel;22;2nd Class Passenger;"2908
£26";Southampton; ;Survivor;F
BEATTIE, Mr Francis;36;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
BEATTIE, Mr Joseph;35;Engineering Crew;;Belfast;Greaser  ;Dead;M
BEATTIE, Mr Thomson;36;1st Class Passenger;"13050
£75 4s 10d";Southampton;Landowner  ;Dead;M
BEAUCHAMP, Mr George William;24;Engineering Crew;;Southampton;Fireman  ;Survivor;M
BEAUCHAMP, Mr Henry James;44;2nd Class Passenger;"244358
£26";Southampton;Club Head Steward  ;Dead;M
BEAVAN, Mr William Thomas;20;3rd Class Passenger;"323951
£8 1s";Southampton;General Labourer  ;Dead;M
BECKER, Master Richard F.;1;2nd Class Passenger;"230136
£39";Southampton; ;Survivor;M
BECKER, Miss Marion Louise;4;2nd Class Passenger;"230136
£39";Southampton; ;Survivor;F
BECKER, Miss Ruth Elizabeth;12;2nd Class Passenger;"230136
£39";Southampton; ;Survivor;F
BECKER, Mrs Nellie E.;35;2nd Class Passenger;"230136
£39";Southampton; ;Survivor;F
BECKWITH, Mr Richard Leonard;37;1st Class Passenger;"11751
£52 11s 1d";Southampton; ;Survivor;M
BECKWITH, Mrs Sarah Maybell;46;1st Class Passenger;"11751
£52 11s 1d";Southampton; ;Survivor;F
BEDFORD, Mr William Barnett;31;Victualling Crew;;Southampton;Assistant Roast Cook  ;Dead;M
BEEDEM, Mr George Arthur;35;Victualling Crew;;Southampton;2nd Class Bedroom Steward  ;Dead;M
BEERE, Mr William;19;Victualling Crew;;Southampton;Kitchen Porter  ;Dead;M
BEESLEY, Mr Lawrence;34;2nd Class Passenger;"248698
£13";Southampton;Teacher  ;Survivor;M
BEHR, Mr Karl Howell;26;1st Class Passenger;"111369
£30";Cherbourg; ;Survivor;M
BELL, Mr Joseph;51;Engineering Crew;;Belfast;Chief Engineer  ;Dead;M
BENDELL, Mr Frank;24;Engineering Crew;;Southampton;Fireman  ;Dead;M
BENGTSSON, Mr Johan Viktor;26;3rd Class Passenger;"347068
£7 15s 6d";Southampton;General Labourer  ;Dead;M
BENHAM, Mr Fred John;30;Victualling Crew;;Southampton;Saloon Steward (2nd class)  ;Dead;M
BENNETT, Mr George Alfred;30;Engineering Crew;;Southampton;Fireman  ;Dead;M
BENNETT, Mrs Mabel;33;Victualling Crew;;Southampton;Stewardess  ;Survivor;F
BENSON, Mr James;50;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
BENSON, Mr John;26;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
BENSON, Mr William;25;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
BENTHAM, Miss Lillian W.;19;2nd Class Passenger;"28404
£13";Southampton; ;Survivor;F
BENVILLE, Mr Edward;47;Engineering Crew;;Southampton;Fireman  ;Dead;M
BERGLUND, Mr Karl Ivar Sven;22;3rd Class Passenger;"4348
£9 7s";Southampton;General Labourer  ;Dead;M
BERNARDI, Sig. Battista;22;Restaurant Staff;;Southampton;Assistant Waiter  ;Dead;M
BERRIMAN, Mr William John;23;2nd Class Passenger;"28425
£13";Southampton; ;Dead;M
BESSANT, Mr Edward;31;Victualling Crew;;Southampton;1st class baggage steward  ;Dead;M
BESSANT, Mr William Edward Lowe;39;Engineering Crew;;Southampton;Fireman  ;Dead;M
BESSETTE, Miss Nellie Mayo;39;"1st Class Passenger
Servant";"17760
£63 7s 2d";Cherbourg;Personal Maid  ;Survivor;F
BEST, Mr Edwin Alfred;40;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
BEUX, Mr David;26;Restaurant Staff;;Southampton;Assistant Waiter  ;Dead;M
BEVIS, Mr Joseph Henry;22;Engineering Crew;;Southampton;Trimmer  ;Dead;M
BIDDLECOMBE, Mr Reginald Charles;31;Engineering Crew;;Southampton;Fireman  ;Dead;M
BIDOIS, Miss Rosalie;46;"1st Class Passenger
Servant";"17757
£247 10s 6d";Cherbourg;Personal Maid  ;Survivor;F
BIETRIX, Mr George Baptiste;28;Restaurant Staff;;Southampton;Cook  ;Dead;M
BIGGS, Mr Edward Charles;20;Engineering Crew;;Southampton;Fireman  ;Dead;M
BILLOWS, Mr James;20;Engineering Crew;;Southampton;Trimmer  ;Dead;M
BING, Mr Lee;32;3rd Class Passenger;"1601
£56 9s 11d";Southampton;Seaman  ;Survivor;M
BINSTEAD, Mr Walter William;20;Engineering Crew;;Southampton;Trimmer  ;Survivor;M
BIRD, Miss Ellen;31;"1st Class Passenger
Servant";"17483
£221 15s 7d";Southampton;Personal Maid  ;Survivor;F
BIRKELAND, Mr Hans Martin Monsen;21;3rd Class Passenger;"312992
£7 15s 6d";Southampton;Seaman  ;Dead;M
BIRNBAUM, Mr Jakob;24;1st Class Passenger;"13905
£26";Cherbourg; ;Dead;M
BISHOP, Mr Dickinson H.;25;1st Class Passenger;"11967
£91 1s 7d";Cherbourg; ;Survivor;M
BISHOP, Mr Walter Alexander;34;Victualling Crew;;Belfast;1st Class Bedroom Steward  ;Dead;M
BISHOP, Mrs Helen;19;1st Class Passenger;"11967
£91 1s 7d";Cherbourg; ;Survivor;F
BITTLE, Mr Robert;37;Engineering Crew;;Belfast;Fireman  ;Survivor;M
BJÃRKLUND, Mr Ernst Herbert;18;3rd Class Passenger;"347090
£7 15s";Southampton;General Labourer  ;Dead;M
BJÖRNSTRÖM-STEFFANSSON, Mr Mauritz Hokan Björnström-Steffansson;28;1st Class Passenger;"110564
£26 11s";Southampton;Businessman  ;Survivor;M
BLACK, Mr Alexander;28;Engineering Crew;;Southampton;Fireman  ;Dead;M
BLACK, Mr D.;41;Engineering Crew;;Southampton;Fireman  ;Dead;M
BLACK, Mr James;38;Engineering Crew;;Belfast;Fireman  ;Survivor;M
BLACKMAN, Mr Albert Edward;23;Engineering Crew;;Southampton;Fireman  ;Dead;M
BLACKWELL, Mr Stephen Weart;45;1st Class Passenger;"113784
£35 10s";Southampton; ;Dead;M
BLAIR, Mr David;37;"Deck Crew
Titanic Officers";;Belfast;Second Officer  ;Survivor;M
BLAKE, Mr Percival Albert;23;Engineering Crew;;Southampton;Trimmer  ;Survivor;M
BLAKE, Mr Seaton;26;Engineering Crew;;Belfast;Mess Steward  ;Dead;M
BLAKE, Mr Thomas Henry;37;Engineering Crew;;Southampton;Fireman  ;Dead;M
BLANEY, Mr James;32;Engineering Crew;;Southampton;Fireman  ;Dead;M
BLANK, Mr Henry;39;1st Class Passenger;"112277
£31";Cherbourg;Jeweller  ;Survivor;M
BLANN, Mr Eustace Horatius;22;Engineering Crew;;Southampton;Fireman  ;Dead;M
BLISS, Mrs Emma;45;Victualling Crew;;Southampton;Stewardess  ;Survivor;F
BLOOMER, Mr James;40;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
BLUMET, Mr Jean Baptiste;26;Restaurant Staff;;Southampton;Pantryman  ;Dead;M
BOAL, Mr John;40;Engineering Crew;;Belfast;Fireman  ;Survivor;M
BOCHATAY, Mr Alexis Joseph;30;Victualling Crew;;Southampton;Chef  ;Dead;M
BOCHET, Mr Pierre Giuseppe;43;Restaurant Staff;;Southampton;Waiter  ;Dead;M
BOGIE, Mr Norman Leslie;59;Victualling Crew;;Southampton;2nd Class Bedroom Steward  ;Dead;M
BOLHUIS, Mr Hendrik;27;Restaurant Staff;;Southampton;Larder Cook  ;Dead;M
BOND, Mr William John;40;Victualling Crew;;Belfast;Bed Room Steward  ;Dead;M
BONNELL, Miss Caroline;30;1st Class Passenger;"36928
£164 17s 4d";Southampton; ;Survivor;F
BONNELL, Miss Elizabeth;61;1st Class Passenger;"113783
£26 11s";Southampton; ;Survivor;F
BOOTHBY, Mr Walter Thomas;38;Victualling Crew;;Southampton;2nd Class Bedroom Steward  ;Dead;M
BOREBANK, Mr John James;41;1st Class Passenger;"110489
£26 11s";Southampton;Property Developer / Real Estate  ;Dead;M
BOSTANDYEFF, Mr Guentcho;26;3rd Class Passenger;"349224
£7 17s 11d";Southampton;General Labourer  ;Dead;M
BOSTON, Mr William John;33;Victualling Crew;;Belfast;Assistant Deck Steward (1st Class)  ;Dead;M
BOTSFORD, Mr William Hull;25;2nd Class Passenger;"237670
£13";Southampton; ;Dead;M
BOTT, Mr William Thomas;46;Engineering Crew;;Southampton;Greaser  ;Dead;M
BOUGHTON, Mr Bernard John;24;Victualling Crew;;Southampton;First class saloon steward  ;Dead;M
BOURKE, Miss Mary;40;3rd Class Passenger;"364848
£7 15s";Queenstown; ;Dead;F
BOURKE, Mr John;42;3rd Class Passenger;"364849
£15 10s";Queenstown;Farmer  ;Dead;M
BOURKE, Mrs Catherine;32;3rd Class Passenger;"364849
£15 10s";Queenstown;Housewife  ;Dead;F
BOWEN, Miss Grace Scott;45;"1st Class Passenger
Servant";"17608
£262 7s 6d";Cherbourg;Governess  ;Survivor;F
BOWEN, Mr David John 'Dai';26;3rd Class Passenger;"54636
£16 2s";Southampton;Pugilist  ;Dead;M
BOWENUR, Mr Solomon;42;2nd Class Passenger;"211535
£13";Southampton;Merchant  ;Dead;M
BOWERMAN, Miss Elsie Edith;22;1st Class Passenger;"113505
£55";Southampton; ;Survivor;F
BOWKER, Miss Ruth Harwood;31;Restaurant Staff;;Southampton;Cashier  ;Survivor;F
BOXHALL, Mr Joseph Groves;28;"Deck Crew
Titanic Officers";;Belfast;4th. Officer  ;Survivor;M
BOYD, Mr Adam;38;Engineering Crew;;Belfast;Fireman  ;Survivor;M
BOYD, Mr John;37;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
BOYES, Mr John Henry;36;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
BRACKEN, Mr James Hollen;30;2nd Class Passenger;"220367
£13";Southampton;Stockman  ;Dead;M
BRADLEY, Miss Bridget Delia;22;3rd Class Passenger;"334914
£7 14s 6d";Queenstown; ;Survivor;F
