"tail"	"head"	"export_value"	"import_value"
15	67	11930	32529
17	15	2891	0
17	20	7985	0
17	26	368238	158277
17	32	13004	0
17	64	1566	0
17	67	4357	0
18	5	221	0
18	16	1284	0
18	23	16806	12295
18	24	16572	38405
18	32	5297	0
18	33	8844	0
18	43	338	0
18	53	81733	27963
18	71	121647	167793
18	72	34693	24383
18	77	87959	59006
19	14	5251	13093
19	58	6281	0
20	40	1873	0
20	75	2153	0
21	29	7111	11049
21	30	793	2934
21	52	2529	0
23	33	814	0
23	43	3531	0
23	53	57521	15224
23	60	7793	0
23	64	3593	0
24	1	82104	0
24	2	29305	0
24	3	20979	0
24	10	28613	0
24	11	50382	0
24	12	3861	0
24	14	4080	0
24	16	3445	0
24	17	12434	0
24	20	9579	0
24	23	19778	0
24	25	23023	0
24	27	34415	0
24	28	47886	0
24	32	10031	0
24	33	1666	0
24	34	13223	0
24	36	16335	0
24	37	27960	0
24	39	64256	0
24	40	2160	0
24	41	24057	0
24	42	7155	0
24	43	935	0
24	44	7753	0
24	46	52146	0
24	47	6364	0
24	48	42555	0
24	49	40391	0
24	53	70505	0
24	54	1998	0
24	55	3623	0
24	60	13104	0
24	61	73710	0
24	63	67464	0
24	64	6886	0
24	65	449	0
24	66	20354	0
24	67	23704	0
24	68	21617	0
24	70	974	0
24	72	184576	0
24	75	41597	0
24	76	58815	0
24	79	1442	0
24	80	2197	0
26	1	23436	0
26	2	29333	0
26	3	99820	0
26	5	341	0
26	6	2205	0
26	9	1711	0
26	10	76524	0
26	11	93533	0
26	12	17066	0
26	13	57365	405577
26	14	12449	0
26	15	19657	0
26	16	7835	0
26	18	358165	218619
26	19	3495	0
26	20	25891	0
26	21	2675	0
26	23	141617	0
26	24	222186	742989
26	25	12714	0
26	27	85851	0
26	28	1242	0
26	29	3791	0
26	30	1507	0
26	31	76823	0
26	32	129067	158903
26	33	11662	0
26	34	39164	0
26	35	53149	0
26	36	55202	0
26	37	68854	0
26	40	5695	0
26	42	22008	0
26	43	5835	0
26	44	816	0
26	45	47215	0
26	46	855	0
26	47	1750	0
26	48	83411	0
26	49	7563	0
26	51	14160	0
26	52	549	0
26	53	135528	0
26	54	3788	0
26	55	4717	0
26	56	983	0
26	57	2158	0
26	58	6065	0
26	59	5947	0
26	61	75301	0
26	62	221	0
26	63	1188	0
26	64	40489	0
26	65	2812	0
26	66	113459	0
26	68	99410	0
26	69	475694	169826
26	70	4250	0
26	71	437006	251479
26	72	970830	854660
26	73	58662	0
26	74	835	0
26	75	15582	0
26	76	90816	0
26	77	882784	399199
26	78	781766	422693
26	79	1855	0
26	80	13060	0
27	16	13534	0
27	30	424	0
27	40	849	0
27	64	1677	0
29	8	399	0
29	30	2804	0
29	52	1401	0
30	52	1032	0
31	2	12574	0
31	3	13644	0
31	6	1050	0
31	10	7147	0
31	19	1195	0
31	20	2695	0
31	21	1112	0
31	22	677	0
31	29	1929	0
31	30	485	0
31	35	12604	0
31	37	9218	0
31	45	24159	0
31	47	1356	0
31	50	33281	0
31	51	4059	0
31	56	1346	0
31	57	2655	0
31	59	23396	0
31	65	274	0
31	68	21277	0
31	70	3703	0
31	73	23642	0
31	79	1971	0
31	80	2767	0
32	15	1865	0
32	62	194	0
32	64	3913	0
34	1	4890	0
34	3	16982	3384
34	6	1089	0
34	20	4306	0
34	22	484	0
34	40	2606	0
34	42	6408	0
34	44	343	0
34	45	15817	0
34	47	3288	0
34	51	2923	0
34	54	4151	0
34	59	7885	0
34	65	207	0
34	66	23269	8861
34	68	9483	0
34	70	7451	0
34	74	622	0
34	77	100138	19072
34	78	240032	29306
35	59	6469	0
35	70	1011	0
36	77	152674	260930
37	64	1524	0
38	1	48478	0
38	2	38225	0
38	3	46977	0
38	5	290	0
38	7	192407	79584
38	9	843	0
38	10	31563	0
38	11	56025	0
38	12	15325	0
38	13	54888	69696
38	14	7573	0
38	15	22229	0
38	16	21483	0
38	17	38564	0
38	18	50685	0
38	19	3277	0
38	20	26232	0
38	21	1696	0
38	23	40169	0
38	24	74172	289608
38	25	1243	0
38	26	1019389	689710
38	27	138424	0
38	28	6045	0
38	29	1574	0
38	31	41006	0
38	32	58484	0
38	33	2058	0
38	34	16450	0
38	35	51412	0
38	36	13825	0
38	37	106401	0
38	39	43990	69372
38	40	19263	0
38	41	33031	0
38	42	34341	0
38	43	629	0
38	44	832	0
38	45	20465	0
38	46	4083	0
38	47	1670	0
38	49	18615	0
38	50	144785	111298
38	51	9437	0
38	53	50337	0
38	54	3791	0
38	55	5189	0
38	56	2560	0
38	57	1331	0
38	58	3885	0
38	60	85965	0
38	61	103927	0
38	62	144	0
38	63	6776	0
38	64	19454	0
38	65	441	0
38	66	70177	0
38	68	31140	0
38	69	401791	104241
38	70	1398	0
38	71	79917	30136
38	72	289190	130179
38	73	27963	0
38	74	1159	0
38	75	30694	0
38	76	70624	0
38	77	322587	177880
38	78	305554	113558
38	79	4701	0
38	80	13418	0
39	1	4189	0
39	3	115283	0
39	5	293	0
39	6	4056	0
39	7	46948	0
39	10	23335	0
39	11	149047	0
39	12	6195	0
39	13	339757	290585
39	14	6483	0
39	16	1717	0
39	18	11399	0
39	19	6349	0
39	20	7454	0
39	21	724	0
39	22	644	0
39	23	11286	0
39	26	209465	156272
39	27	6180	0
39	29	1012	0
39	31	306474	45445
39	32	8010	0
39	34	27655	0
39	35	134557	65894
39	36	11597	0
39	37	7488	0
39	40	1273	0
39	42	9189	0
39	44	2042	0
39	47	1278	0
39	48	161778	0
39	49	1582	0
39	50	98557	0
39	51	15470	0
39	52	1399	0
39	53	14864	0
39	54	1594	0
39	55	10388	0
39	57	875	0
39	58	2477	0
39	59	138348	0
39	68	24555	0
39	69	60330	0
39	70	12016	0
39	71	102912	59827
39	72	30748	35681
39	74	641	0
39	75	1765	0
39	76	29234	0
39	77	220662	67967
39	78	1982651	680292
39	80	4831	0
41	1	3156	0
41	3	45517	0
41	6	1121	0
41	11	53800	18832
41	12	4326	0
41	13	127810	53582
41	26	145719	147775
41	31	65315	0
41	34	9808	0
41	35	41827	0
41	37	5822	0
41	39	390581	489714
41	40	1841	0
41	42	2819	0
41	45	31255	0
41	49	2225	0
41	50	45349	0
41	51	6472	0
41	55	15469	0
41	59	17031	0
41	66	50098	0
41	68	17826	0
41	69	20135	0
41	70	6441	0
41	73	56160	0
41	75	1446	0
41	76	6336	0
41	78	571623	286198
45	3	18508	24560
45	22	385	0
45	35	7993	32298
45	39	30051	423412
45	47	995	0
45	59	5027	0
45	66	260968	223382
45	70	3903	0
48	8	848	0
48	11	48804	35460
48	14	2684	0
48	19	1565	0
48	21	3868	0
48	29	9952	0
48	30	2636	0
48	52	1289	0
48	56	2161	0
48	58	3450	0
48	78	959462	2788249
48	80	2373	0
50	2	6932	0
50	10	6310	0
50	15	1352	0
50	16	1194	0
50	17	9265	0
50	18	48335	76037
50	20	5832	0
50	23	15373	0
50	24	12512	160645
50	24	35342	160645
50	26	653983	1148108
50	27	8786	0
50	32	10503	0
50	33	4373	0
50	34	3059	0
50	35	39619	0
50	36	10567	0
50	37	13670	0
50	40	1041	0
50	43	506	0
50	44	393	0
50	45	12909	0
50	47	592	0
50	49	1475	0
50	53	18272	0
50	53	42223	0
50	54	1742	0
50	55	5752	0
50	59	4305	0
50	60	11309	0
50	61	19173	0
50	64	1929	0
50	66	23651	0
50	67	2815	0
50	68	8530	0
50	69	38204	0
50	70	916	0
50	71	55480	149173
50	72	53919	71833
50	75	1724	0
50	76	7270	0
50	77	230744	199080
50	80	2187	0
51	22	6253	0
53	33	4907	0
53	65	197	0
56	19	1223	0
56	21	710	951
56	29	1629	0
56	30	755	0
56	52	787	0
58	9	3397	0
58	29	906	0
58	44	772	0
60	17	12719	8238
60	18	23826	6576
60	26	360130	239865
60	43	537	0
60	71	18936	21084
61	37	5754	0
61	49	2051	0
61	69	101038	132214
61	71	15812	0
64	40	994	0
64	62	514	1670
66	3	19856	42536
66	6	833	0
66	13	22469	113147
66	22	1297	0
66	31	55176	55398
66	35	39206	0
66	39	31011	349443
66	47	1181	0
66	51	3027	0
66	54	1173	0
66	55	2588	0
66	59	21744	0
66	65	1692	0
66	70	12253	0
67	26	98586	68588
67	32	4682	0
67	38	48996	51024
68	37	11562	7621
68	44	330	0
68	47	6805	0
68	63	2566	0
68	65	2833	0
69	1	8017	0
69	2	20995	0
69	8	558	0
69	9	1528	0
69	10	4659	0
69	12	21783	0
69	14	6121	0
69	16	2920	0
69	20	3837	0
69	21	1405	0
69	23	9082	0
69	24	16791	354356
69	27	12263	0
69	30	635	0
69	32	6014	0
69	37	10859	0
69	40	2505	0
69	42	3123	0
69	48	43041	0
69	49	24253	0
69	52	2337	0
69	57	1643	0
69	58	3536	0
69	59	6023	0
69	60	8747	0
69	68	9174	0
69	75	4650	0
69	76	5510	0
69	77	84460	123163
69	79	3479	0
69	80	6272	0
71	2	10327	0
71	3	32204	0
71	9	575	0
71	10	15059	0
71	12	6484	0
71	14	2865	0
71	15	2321	0
71	16	1241	0
71	17	7890	0
71	19	1308	0
71	23	105299	108793
71	24	6898	68207
71	32	13221	0
71	33	6599	0
71	34	4122	0
71	41	28814	0
71	43	2195	0
71	44	234	0
71	49	1852	0
71	51	5164	0
71	53	206891	83159
71	56	861	0
71	58	6509	0
71	64	2826	0
71	66	33275	0
71	67	2867	0
71	68	10219	0
71	69	23565	0
71	76	5582	0
71	77	131895	124480
71	80	3286	0
72	3	20560	0
72	8	254	0
72	10	7603	0
72	12	3572	0
72	15	3283	0
72	17	6366	0
72	20	4881	0
72	23	13425	0
72	27	5633	0
72	32	8937	0
72	34	4232	0
72	36	5246	0
72	37	39365	0
72	44	367	0
72	45	14390	0
72	47	450	0
72	49	1596	0
72	51	3937	0
72	60	6396	0
72	61	10241	0
72	64	1218	0
72	67	3297	0
72	68	11709	0
72	69	31176	0
72	71	45523	0
72	76	6227	0
72	77	160542	46636
73	3	14377	0
73	22	756	0
73	35	7799	0
73	39	145781	749039
73	45	22074	15889
73	65	3179	0
73	66	26035	81685
73	70	4364	0
74	8	151	0
75	1	6283	0
75	49	1849	0
76	1	7761	0
76	27	4621	0
76	40	1640	0
76	64	1598	0
76	75	6054	0
77	1	6183	0
77	2	9988	0
77	3	82737	0
77	5	3574	0
77	8	1067	0
77	10	9428	0
77	11	78570	0
77	12	11294	0
77	14	7956	0
77	15	5563	0
77	16	16821	0
77	17	12045	0
77	20	18523	0
77	22	1066	0
77	23	36078	0
77	24	17678	306259
77	27	16174	0
77	31	190501	108585
77	32	16104	0
77	33	9822	0
77	35	13811	0
77	37	31607	0
77	40	3315	0
77	41	108865	0
77	42	20171	0
77	43	397	0
77	44	3550	0
77	45	42323	0
77	47	4971	0
77	49	2161	0
77	51	22291	0
77	53	410961	0
77	54	11803	0
77	55	15832	0
77	58	2005	0
77	59	7705	0
77	60	15021	0
77	61	24761	0
77	64	2250	0
77	65	2833	0
77	66	86549	0
77	68	64027	0
77	70	4798	0
77	73	28510	0
77	74	4784	0
77	75	2560	0
77	76	25310	0
77	79	984	0
77	80	4397	0
78	1	40151	0
78	2	147671	0
78	3	250407	0
78	4	37419	0
78	5	11210	0
78	6	1195	0
78	7	94976	0
78	8	7062	0
78	9	11062	0
78	11	3059235	2032121
78	12	73311	0
78	13	120410	1066964
78	14	85382	0
78	15	1211	0
78	16	2709	0
78	18	22108	0
78	19	27854	0
78	20	33476	0
78	21	21231	0
78	22	800	0
78	23	27014	0
78	24	5786	328783
78	25	556	0
78	27	12213	0
78	28	2141	0
78	29	29274	0
78	30	17983	0
78	31	152931	135643
78	32	7496	0
78	33	2828	0
78	35	62471	0
78	36	71520	0
78	37	99026	0
78	40	2619	0
78	42	14070	0
78	44	786	0
78	45	76791	0
78	46	1433	0
78	47	480	0
78	49	1870	0
78	50	102783	0
78	51	40786	0
78	52	5598	0
78	53	55418	0
78	54	2786	0
78	55	4387	0
78	56	33670	0
78	57	2808	0
78	58	44921	0
78	59	103484	0
78	60	9890	0
78	61	5617	0
78	66	202843	0
78	68	64465	0
78	69	65224	0
78	70	2902	0
78	71	70568	153074
78	72	47707	221690
78	73	181924	0
78	74	23795	0
78	75	7717	0
78	76	19258	0
78	77	469992	355999
78	79	4898	0
78	80	93511	0
80	9	1503	0
80	12	7886	0
80	14	23556	9711
80	19	2837	0
80	29	2330	0
80	30	489	0
80	52	2994	0
80	56	3293	0
80	57	1486	0
80	58	10377	0
80	74	1401	0
